product_code,product_description,customer_count,total_quantity,total_revenue,avg_price
21217,RED SPOTTY ROUND CAKE TINS,23,114,1074.3000000000002,9.77608695652174
21984,PACK OF 12 PINK PAISLEY TISSUES,5,4164,1047.24,0.28200000000000003
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,27,295,1037.13,3.672298850574713
21232,STRAWBERRY CERAMIC TRINKET BOX,41,883,1035.35,1.231463414634146
21490,SET OF THREE 50'S GIFT WRAPS,32,584,1020.2999999999998,1.9124999999999996
21000,ROSE DU SUD COSMETICS BAG,3,502,1008.5,3.5
POST,POSTAGE,12,40,989.0,38.166666666666664
22189,CREAM HEART CARD HOLDER,22,271,969.6499999999997,3.848181818181818
20685,RED SPOTTY COIR DOORMAT,34,146,929.5,6.63235294117647
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,11,324,909.0,3.022727272727273
21733,RED HANGING HEART T-LIGHT HOLDER,24,316,877.8000000000001,2.9000000000000004
85099C,JUMBO  BAG BAROQUE BLACK WHITE,18,493,871.35,1.9333333333333333
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,7,230,869.5,4.107142857142857
72045D,ROSES ON BLUE TEACUP CANDLE,1,504,851.76,1.69
22138,BAKING SET 9 PIECE RETROSPOT,47,176,850.2000000000004,4.920212765957446
21754,HOME BUILDING BLOCK WORD,25,140,803.0000000000003,5.910000000000001
22041,"RECORD FRAME 7"" SINGLE SIZE",4,360,766.8,2.235
85014C,BLUE/BROWN DOTS RUFFLED UMBRELLA,9,214,706.9000000000001,5.622222222222223
21212,PACK OF 72 RETRO SPOT CAKE CASES,44,1387,700.4500000000003,0.5381818181818182
22149,FELTCRAFT 6 FLOWER FRIENDS,8,325,682.5000000000001,2.1
37503,TEA TIME CAKE STAND IN GIFT BOX,16,64,678.4,10.700000000000001
22294,HEART FILIGREE DOVE  SMALL,20,578,667.78,1.2405000000000002
21485,RED SPOT HEART HOT WATER BOTTLE,31,137,661.3500000000003,4.927419354838711
35004C,SET OF 3 COLOURED  FLYING DUCKS,6,139,651.9499999999999,5.050000000000001
21231,SWEETHEART CERAMIC TRINKET BOX,31,548,643.96,1.2316129032258065
84836,ZINC METAL HEART DECORATION,25,539,632.71,1.2424000000000004
21527,RETRO SPOT TRADITIONAL TEAPOT,25,82,615.8999999999999,7.87
21107,CREAM SLICE FLANNEL PINK SPOT,10,234,613.5000000000002,2.87
22125,UNION JACK HOT WATER BOTTLE,26,106,606.6999999999999,5.911538461538463
21955,UNION JACK GUNS & ROSES  DOORMAT,22,97,605.15,6.6045454545454545
84922,PINK BUTTERFLY WASHBAG,1,300,600.0,2.0
82486,WOOD S/3 CABINET ANT WHITE FINISH,13,81,599.95,7.796153846153847
21479,WHITE SKULL HOT WATER BOTTLE,33,161,595.11,3.7390909090909092
21491,SET OF THREE VINTAGE GIFT WRAPS,26,334,593.6999999999999,1.9153846153846152
82494L,WOODEN FRAME ANTIQUE WHITE,27,211,591.25,2.9203703703703705
37449,CERAMIC CAKE STAND + HANGING CAKES,9,66,587.0999999999999,9.466666666666665
82482,WOODEN PICTURE FRAME WHITE FINISH,27,249,578.2499999999999,2.5000000000000004
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,14,78,572.0999999999999,7.664285714285714
21843,RETRO SPOT CAKE STAND,21,52,569.3999999999997,10.949999999999998
21931,JUMBO STORAGE BAG SUKI,29,307,568.6499999999999,1.939655172413793
85042,ANTIQUE LILY FAIRY LIGHTS,13,128,566.4000000000001,4.734615384615385
21755,LOVE BUILDING BLOCK WORD,18,99,562.0500000000001,5.894444444444445
84946,ANTIQUE SILVER TEA GLASS ETCHED,24,471,561.39,1.2341666666666666
21622,VINTAGE UNION JACK CUSHION COVER,19,110,544.5000000000002,4.95
22121,NOEL WOODEN BLOCK LETTERS,21,94,541.3000000000001,5.902380952380953
21523,FANCY FONT HOME SWEET HOME DOORMAT,14,84,519.0,6.578571428571428
21258,VICTORIAN SEWING BOX LARGE,9,44,503.4,12.149999999999999
20750,RED/WHITE DOT MINI CASES,18,70,498.89999999999986,7.683333333333334
22197,"POPCORN HOLDER , SMALL",14,647,495.34999999999997,0.8314285714285715
82483,WOOD 2 DRAWER CABINET WHITE FINISH,15,91,493.45000000000005,5.816666666666667
20914,SET/5 RED SPOTTY LID GLASS BOWLS,26,170,488.6999999999999,2.9346153846153844
22113,GREY HEART HOT WATER BOTTLE,23,141,486.45,3.45
79323LP,LIGHT PINK CHERRY LIGHTS,11,81,484.35,6.513636363636364
21590,KINGS CHOICE CIGAR BOX MATCHES,18,408,482.64,1.2394444444444443
22271,FELTCRAFT DOLL ROSIE,17,175,477.84999999999997,2.9264705882352944
21621,VINTAGE UNION JACK BUNTING,18,56,476.0,8.5
47591D,PINK FAIRY CAKE CHILD'S APRON,22,266,473.70000000000005,1.9227272727272726
22273,FELTCRAFT DOLL MOLLY,19,173,471.95,2.9289473684210523
20725,LUNCH BAG RED SPOTTY,25,287,453.54999999999995,1.6419999999999997
20692,FLORAL ELEPHANT SOFT TOY,6,113,432.25,4.166666666666667
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,17,115,431.25,3.75
85099F,JUMBO BAG STRAWBERRY,17,236,430.2,1.9323529411764704
84078A,SET/4 WHITE RETRO STORAGE CUBES,1,12,419.40000000000003,34.95
85132C,CHARLIE AND LOLA FIGURES TINS,3,62,403.9,8.766666666666667
72741,GRAND CHOCOLATECANDLE,16,288,403.20000000000005,1.4374999999999998
22335,HEART DECORATION PAINTED ZINC,11,705,400.65000000000003,0.6318181818181818
20979,36 PENCILS TUBE RED SPOTTY,17,338,398.18,1.238823529411765
21477,STRING OF 20 ROSE LIGHTS,9,34,397.5,12.55
48187,DOOR MAT NEW ENGLAND,23,61,395.75,6.680434782608696
85132A,CHARLIE + LOLA BISCUITS TINS,2,61,392.75,8.165
21181,PLEASE ONE PERSON  METAL SIGN,28,187,392.7,2.1
21186,WHITE DOVE HONEYCOMB PAPER GARLAND,14,252,391.2,1.621428571428571
79321,CHILLI LIGHTS,8,89,390.15000000000003,4.6875
21137,BLACK RECORD COVER FRAME,4,112,385.44,3.5700000000000003
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,17,102,382.5,3.75
85047,WHITE BEADED GARLAND STRING 20LIGHT,11,63,380.84999999999997,6.2772727272727264
84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,14,155,379.84999999999997,2.8464285714285715
21484,CHICK GREY HOT WATER BOTTLE,19,114,375.30000000000007,3.423684210526316
21791,VINTAGE HEADS AND TAILS CARD GAME,21,318,370.14,1.2319047619047618
22200,FRYING PAN PINK POLKADOT,8,87,369.75,4.25
37502,TEA TIME MUG IN GIFT BOX,8,137,365.74999999999994,2.9
21681,GIANT MEDINA STAMPED METAL BOWL,4,40,363.2,9.5875
22348,TEA BAG PLATE RED SPOTTY,20,469,361.21,0.8435000000000001
21929,JUMBO BAG PINK VINTAGE PAISLEY,23,185,360.75,1.95
72753A,S/3 FLWR FAIRY LILLY CANDLES,2,168,352.8,2.1
21100,CHARLIE AND LOLA CHARLOTTE BAG,14,235,352.75,1.5999999999999999
84991,60 TEATIME FAIRY CAKE CASES,25,641,352.5499999999999,0.55
85220,SMALL FAIRY CAKE FRIDGE MAGNETS,1,240,348.0,1.45
84050,PINK HEART SHAPE EGG FRYING PAN,9,256,345.5999999999999,1.561111111111111
51008,AFGHAN SLIPPER SOCK PAIR,3,100,345.0,3.45
22180,RETRO SPOT LAMP,11,36,340.7999999999999,9.818181818181818
21864,UNION JACK FLAG PASSPORT COVER,10,195,340.62000000000006,2.059
22195,HEART MEASURING SPOONS LARGE,14,216,340.40000000000003,1.6357142857142852
21432,SET OF 3 CASES WOODLAND DESIGN,9,60,338.99999999999994,5.894444444444445
79342B,BROWN FLOWER LIGHTS,6,57,337.95000000000005,6.533333333333333
72753B,S/3 FLWR FAIRY LAVENDER CANDLES,1,160,336.0,2.1
20727,LUNCH BAG  BLACK SKULL.,18,209,334.85,1.6388888888888886
22198,"POPCORN HOLDER , LARGE",7,219,331.75,1.5928571428571427
20747,PICCADILLY TEA SET,9,22,328.8999999999999,14.95
22109,FULL ENGLISH BREAKFAST PLATE,13,92,327.72,3.666923076923077
21711,FOLDING UMBRELLA  WHITE/RED  SPOT,4,65,321.75,4.95
48185,DOOR MAT FAIRY CAKE,13,52,321.5,6.107692307692308
22215,CAKE STAND WHITE TWO TIER LACE,13,39,321.3,8.434615384615384
22130,PARTY CONE CHRISTMAS DECORATION,20,372,316.19999999999993,0.85
22082,RIBBON REEL STRIPES DESIGN,14,201,307.65,1.6357142857142855
90035B,"PEARL & SHELL 42""NECKL. PINK",1,36,305.64,8.49
79323S,SILVER CHERRY LIGHTS,11,45,303.75,6.75
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,14,81,303.75,3.75
22084,PAPER CHAIN KIT EMPIRE,10,108,302.6,2.91
48111,DOOR MAT 3 SMILEY CATS,13,47,301.25,6.6269230769230765
72023F,RED ORGANIC CANDLE IN GLASS,2,348,300.6,1.05
21912,VINTAGE SNAKES & LADDERS,17,80,300.0,3.75
21481,FAWN BLUE HOT WATER BOTTLE,20,101,297.95,2.95
84031A,CHARLIE+LOLA RED HOT WATER BOTTLE,5,88,296.64,4.152000000000001
21488,RED WHITE SCARF  HOT WATER BOTTLE,15,75,296.25000000000006,3.95
22131,FOOD CONTAINER SET 3 LOVE HEART,13,173,294.14999999999986,1.9269230769230767
85040B,SET/4 BLUE FLOWER CANDLES IN BOWL,5,201,293.24999999999994,1.6099999999999997
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,12,29,288.54999999999995,9.95
22295,HEART FILIGREE DOVE LARGE,15,173,285.45,1.65
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,13,300,285.0,0.9499999999999998
22352,LUNCHBOX WITH CUTLERY RETROSPOT,12,122,284.1,2.5124999999999997
35961,FOLKART ZINC HEART CHRISTMAS DEC,8,375,281.30999999999995,0.83375
85066,CREAM SWEETHEART MINI CHEST,9,22,280.5,12.75
48184,DOOR MAT ENGLISH ROSE,9,45,279.75,6.572222222222222
22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",18,359,279.15,0.8355555555555557
21666,RIDGED GLASS T-LIGHT HOLDER,1,504,277.20000000000005,0.55
21700,BIG DOUGHNUT FRIDGE MAGNETS,9,324,275.4,0.85
79072,TEATIME CAKE TIN WITH HANDLE,6,30,274.5,9.45
21210,SET OF 72 RETRO SPOT PAPER  DOILIES,16,188,272.6,1.45
21732,RED HANGING METAL STAR TLIGHT HLDR,8,78,272.34000000000003,3.615
85232B,SET/3 RUSSIAN DOLL STACKING TINS,13,55,272.25,4.95
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,16,32,272.0,8.5
21842,PINK HEART CANDY BUTTON CALCULATOR,5,115,271.65,2.46
21589,SWALLOW GIANT TUBE MATCHES,8,114,269.1,2.49375
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,14,74,268.86,3.724285714285714
21871,SAVE THE PLANET MUG,13,226,268.82,1.2353846153846155
21930,JUMBO STORAGE BAG SKULLS,14,137,267.15,1.95
85112,S/3 TEAR DROP CUT GLASS DECORATION,9,384,264.0,1.1666666666666667
20828,GLITTER BUTTERFLY CLIPS,14,112,264.0,2.517857142857143
22296,HEART IVORY TRELLIS LARGE,15,160,263.99999999999994,1.65
21888,BINGO SET,14,70,262.5,3.75
22343,PARTY PIZZA DISH RED WHITE SPOT,3,306,260.09999999999997,0.85
79341,WILLOW BRANCH LIGHTS.,6,43,259.05,6.533333333333333
22120,WELCOME  WOODEN BLOCK LETTERS,8,26,258.7,9.95
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,2,301,258.45,0.9500000000000002
21977,PACK OF 60 PINK PAISLEY CAKE CASES,18,497,257.7499999999999,0.5427777777777778
85150,LADIES & GENTLEMEN METAL SIGN,17,101,257.55,2.55
84396,6 HOOK JEWELLERY STAND BLACK DRESS,3,132,257.4,1.95
82001S,VINYL RECORD FRAME SILVER,4,75,255.32999999999998,3.4800000000000004
48173C,DOOR MAT BLACK FLOCK,14,40,254.0,6.635714285714285
79320,FLAMINGO LIGHTS,5,58,253.50000000000003,4.67
21868,POTTING SHED TEA MUG,17,213,252.57,1.2388235294117647
22179,SET 10 LIGHTS NIGHT OWL,6,37,249.75,6.75
22090,PAPER BUNTING RETRO SPOTS,6,90,249.5,2.8833333333333337
21877,HOME SWEET HOME MUG,15,210,248.82,1.2373333333333336
84949,SILVER HANGING T-LIGHT HOLDER,9,162,248.09999999999997,1.6277777777777773
22178,VICTORIAN GLASS HANGING T-LIGHT,12,198,247.5,1.25
22095,LADS ONLY TISSUE BOX,6,198,247.5,1.25
22187,GREEN CHRISTMAS TREE CARD HOLDER,9,61,247.25,4.194444444444445
82600,NO SINGING METAL SIGN,15,127,247.02000000000004,2.0726666666666667
22078,RIBBON REEL LACE DESIGN,3,131,245.1,2.0166666666666666
84970S,HANGING HEART ZINC T-LIGHT HOLDER,16,288,244.79999999999993,0.85
20728,LUNCH BAG CARS BLUE,18,148,244.2,1.65
22349,"DOG BOWL , CHASING BALL DESIGN",13,65,243.75,3.75
90062,CARNIVAL BRACELET,5,19,242.25,12.75
48188,DOOR MAT WELCOME PUPPIES,12,37,241.75,6.683333333333333
22147,FELTCRAFT BUTTERFLY HEARTS,11,183,241.34999999999997,1.4136363636363636
85038,6 CHOCOLATE LOVE HEART T-LIGHTS,4,132,239.52,1.935
85174,S/4 CACTI CANDLES,5,55,238.64999999999998,4.8100000000000005
21591,COSY HOUR CIGAR BOX MATCHES,12,188,235.0,1.25
22150,3 STRIPEY MICE FELTCRAFT,15,132,233.39999999999998,1.9299999999999997
21080,SET/20 RED SPOTTY PAPER NAPKINS,27,273,232.04999999999987,0.85
21928,JUMBO BAG SCANDINAVIAN PAISLEY,14,118,230.10000000000002,1.95
84558A,3D DOG PICTURE PLAYING CARDS,7,78,230.10000000000002,2.95
85152,HAND OVER THE CHOCOLATE   SIGN,16,118,228.11999999999998,2.074375
84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,13,97,227.35,2.8692307692307697
22145,CHRISTMAS CRAFT HEART STOCKING,15,113,227.29999999999995,2.0833333333333335
22064,PINK DOUGHNUT TRINKET POT,10,142,224.7,1.6299999999999997
82582,AREA PATROLLED METAL SIGN,9,121,224.57999999999998,2.0544444444444445
84406B,CREAM CUPID HEARTS COAT HANGER,10,74,224.5,3.2
21592,RETRO SPOT  CIGAR BOX MATCHES,12,178,222.5,1.25
21156,RED SPOTTY CHILDS APRON,16,113,220.34999999999994,1.95
22061,LARGE CAKE STAND  HANGING STRAWBERY,7,22,218.89999999999998,9.95
21243,PINK  SPOTTY PLATE,7,143,218.63,1.6557142857142857
21398,RED  SPOTTY COFFEE  MUG,4,120,218.4,1.925
21175,GIN + TONIC DIET METAL SIGN,17,104,218.4,2.1
21480,PINK STRIPE HOT WATER BOTTLE,16,74,218.3,2.95
21610,SET 12 PEAR BOTANICAL T-LIGHTS,6,80,216.79999999999998,2.8833333333333337
21136,PAINTED METAL PEARS ASSORTED,9,128,216.32000000000002,1.69
35400,WOODEN BOX ADVENT CALENDAR,14,24,214.79999999999998,8.95
21935,SUKI  SHOULDER BAG,12,129,212.85,1.65
20711,JUMBO BAG TOYS,8,129,212.54999999999998,1.8687500000000001
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,6,83,211.64999999999998,2.55
21790,VINTAGE SNAP CARDS,20,249,211.64999999999995,0.85
21531,RETRO SPOT SUGAR JAM BOWL,12,91,210.45000000000007,2.5124999999999993
20886,BOX OF 9 PEBBLE CANDLES,7,119,210.45,1.907142857142857
22337,ANGEL DECORATION PAINTED ZINC,7,368,210.4,0.6357142857142857
22218,CAKE STAND LACE WHITE,11,52,209.0,4.204545454545455
21042,RED SPOTTY APRON,8,35,208.25,5.95
21493,VINTAGE DESIGN GIFT TAGS,20,244,207.39999999999998,0.85
21671,RED SPOT CERAMIC DRAWER KNOB,11,175,207.35,1.2327272727272731
21841,BABY MOUSE RED GINGHAM DRESS,7,53,207.25,4.178571428571429
21584,RETRO SPOT SMALL TUBE MATCHES,8,125,206.25,1.65
21669,BLUE STRIPE CERAMIC DRAWER KNOB,9,174,206.1,1.2288888888888891
90035C,"PEARL & SHELL 42""NECKL. IVORY",1,19,204.25,10.75
20823,GOLD WINE GOBLET,1,48,204.0,4.25
85061W,WHITE JEWELLED HEART DECORATION,4,298,202.9,0.7975
21524,SPOTTY  HOME SWEET HOME DOORMAT,12,31,201.25,6.683333333333333
22336,DOVE DECORATION PAINTED ZINC,8,353,200.65,0.6375
22353,LUNCHBOX WITH CUTLERY FAIRY CAKES,16,78,198.89999999999998,2.55
84988,SET OF 72 PINK HEART PAPER DOILIES,10,137,198.65,1.45
20724,RED SPOTTY CHARLOTTE BAG,20,232,197.19999999999996,0.85
82615,PINK MARSHMALLOW SCARF KNITTING KIT,8,73,196.14999999999998,2.9000000000000004
84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,10,52,195.0,3.75
20682,RED SPOTTY CHILDS UMBRELLA,11,60,195.0,3.25
20983,12 PENCILS TALL TUBE RED SPOTTY,18,229,194.64999999999998,0.85
21360,JOY LARGE WOOD LETTERS,6,34,194.3,8.95
84832,ZINC WILLIE WINKIE  CANDLE STICK,13,227,192.95,0.85
84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE,4,61,191.25,4.237500000000001
21731,RED TOADSTOOL LED NIGHT LIGHT,10,115,189.75,1.6499999999999997
84987,SET OF 36 TEATIME PAPER DOILIES,13,130,188.5,1.45
21429,RED GINGHAM ROSE JEWELLERY BOX,18,114,188.1,1.65
22088,PAPER BUNTING COLOURED LACE,7,69,187.55,2.8928571428571432
21238,RED SPOTTY CUP,18,235,187.27,0.8427777777777777
72802A,ROSE SCENT CANDLE IN JEWELLED BOX,2,49,187.13,4.03
84884A,ANT WHITE WIRE HEART SPIRAL,6,51,184.65,3.8566666666666674
21528,DAIRY MAID TRADITIONAL TEAPOT,4,30,184.5,6.7
20780,BLACK EAR MUFF HEADPHONES,2,39,183.87,5.07
20718,RED SPOTTY SHOPPER BAG,15,147,183.75,1.25
22300,COFFEE MUG DOG + BALL DESIGN,12,72,183.60000000000002,2.55
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,7,156,183.6,1.222857142857143
37410,BLACK AND WHITE PAISLEY FLOWER MUG,1,216,183.6,0.85
22297,HEART IVORY TRELLIS SMALL,11,146,182.5,1.25
84519A,TOMATO CHARLIE+LOLA COASTER SET,5,77,182.35000000000002,2.79
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,7,27,182.25,6.75
21832,CHOCOLATE CALCULATOR,9,110,181.5,1.65
84992,72 SWEETHEART FAIRY CAKE CASES,14,356,180.20000000000002,0.5407142857142857
22186,RED STAR CARD HOLDER,11,61,179.95000000000005,2.95
21216,"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",8,39,176.25000000000003,4.862500000000001
20726,LUNCH BAG WOODLAND,14,106,174.9,1.65
85063,CREAM SWEETHEART MAGAZINE RACK,6,11,174.44999999999996,16.616666666666667
21133,PAINTED BIRD ASSORTED CHRISTMAS,9,102,172.37999999999997,1.6900000000000002
20754,RETRO RED SPOTTY WASHING UP GLOVES,15,82,172.2,2.1
22142,CHRISTMAS CRAFT WHITE FAIRY,17,118,171.1,1.45
84519B,CARROT CHARLIE+LOLA COASTER SET,4,69,170.55,2.8125
84950,ASSORTED COLOUR T-LIGHT HOLDER,3,228,168.84,0.8066666666666666
21535,RETRO SPOT SMALL MILK JUG,16,66,168.3,2.55
84937,KASHMIR FOLKART TUMBLERS,5,80,168.0,2.1
15036,ASSORTED COLOURS SILK FAN,5,319,166.55,0.616
47591C,BLUE FAIRY CAKE CHILD'S APRON,14,93,166.35,1.9285714285714284
21611,SET OF 12 LILY BOTANICAL T-LIGHTS,7,56,165.20000000000002,2.95
21740,COSY SLIPPER SHOES LARGE RED,13,56,165.2,2.95
22070,SMALL RETRO SPOT MUG IN BOX  RED,9,44,165.0,3.75
21582,KINGS CHOICE SMALL TUBE MATCHES,10,99,163.35,1.65
21134,VICTORIAN METAL POSTCARD CHRISTMAS,6,99,163.35,1.65
85065,CREAM SWEETHEART TRAYS,5,15,163.25,12.190000000000001
85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,4,65,162.75,3.4125
47566,PARTY BUNTING,7,35,162.75,4.65
20825,GOLD WINE GLASS,1,48,162.72,3.39
21543,BUTTERFLY WATER TRANSFER TATTOOS,7,238,162.29999999999995,0.8214285714285714
21889,WOODEN BOX OF DOMINOES,13,129,161.25,1.25
21821,GLITTER STAR GARLAND WITH BELLS,8,43,161.25,3.75
21769,VINTAGE POST OFFICE CABINET,2,2,159.9,79.95
21035,SET/2 RED SPOTTY TEA TOWELS,11,54,159.30000000000004,2.9500000000000006
21164,HOME SWEET HOME METAL SIGN,11,54,159.3,2.9500000000000006
21844,RETRO SPOT MUG,7,54,159.3,2.9500000000000006
21975,PACK OF 60 DINOSAUR CAKE CASES,14,317,158.75,0.5407142857142857
21146,ANTIQUE GLASS RIDGED HANGING BALL,1,96,158.39999999999998,1.6499999999999997
22071,SMALL RETRO SPOT MUG IN BOX  WHITE,9,42,157.5,3.75
20972,PINK CREAM FELT CRAFT TRINKET BOX,13,126,157.5,1.25
84029C,BROWN FURRY HOT WATER BOTTLE,8,42,157.5,3.75
84839,SWEETHEART KEY CABINET,8,25,156.75,6.6
21411,GINGHAM HEART  DOORSTOP RED,7,50,156.5,3.9999999999999996
85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,2,63,155.25,3.075
48194,DOORMAT HEARTS,11,23,155.25,6.75
21121,SET/10 RED SPOTTY PARTY CANDLES,6,124,155.0,1.25
21756,BATH BUILDING BLOCK WORD,10,26,154.70000000000002,5.95
20975,12 PENCILS SMALL TUBE RED SPOTTY,21,238,154.7,0.65
48116,DOOR MAT MULTICOLOUR STRIPE,7,24,154.0,6.635714285714285
37370,RETRO COFFEE MUGS ASSORTED,6,134,153.82,1.2183333333333335
21706,"FOLDING UMBRELLA , RED/WHITE SPOT",5,31,153.45000000000002,4.95
22355,"CHARLOTTE BAG , SUKI DESIGN",17,180,153.00000000000003,0.85
21407,BROWN CHECK CAT DOORSTOP,12,36,153.0,4.25
22303,COFFEE MUG APPLES DESIGN,9,60,153.0,2.55
85067,CREAM SWEETHEART WALL CABINET,6,8,151.59999999999997,18.95
84270,ASSTD DESIGN BUBBLE GUM RING,18,720,151.20000000000002,0.21
22415,WHITE TISSUE REAM,14,19,151.04999999999998,7.95
21380,WOODEN HAPPY BIRTHDAY GARLAND,7,51,150.45,2.9500000000000006
22276,WASH BAG VINTAGE ROSE PAISLEY,12,59,150.45,2.55
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,7,120,150.0,1.25
84705C,PINK FLOCK PHOTO FRAME,1,120,150.0,1.25
20675,BLUE SPOTTY BOWL,12,130,148.82,1.2341666666666669
20713,JUMBO BAG OWLS,14,76,148.2,1.95
20940,SET/6 GARDEN GNOME T-LIGHT CANDLES,7,55,147.85,2.8928571428571432
22272,FELTCRAFT DOLL MARIA,12,50,147.5,2.9500000000000006
21833,CAMOUFLAGE LED TORCH,10,87,147.03,1.69
20681,PINK SPOTTY CHILDS UMBRELLA,9,45,146.25,3.25
22350,CAT BOWL,9,57,145.35,2.55
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,11,731,144.87,0.20727272727272728
21482,MUSHROOM BLUE HOT WATER BOTTLE,15,49,144.55000000000004,2.95
22115,METAL SIGN EMPIRE TEA,10,49,144.55,2.95
21174,POTTERING IN THE SHED METAL SIGN,11,74,144.29999999999998,1.95
21213,PACK OF 72 SKULL CAKE CASES,12,262,144.1,0.55
21668,RED STRIPE CERAMIC DRAWER KNOB,9,115,143.75,1.25
21642,ASSORTED TUTTI FRUTTI PEN,8,169,143.65,0.85
21541,DINOSAURS WATER TRANSFER TATTOOS,3,216,143.6,0.7833333333333333
21257,VICTORIAN SEWING BOX MEDIUM,8,18,143.10000000000002,7.95
20749,ASSORTED COLOUR MINI CASES,8,18,143.10000000000002,7.95
21624,VINTAGE UNION JACK DOORSTOP,9,24,142.8,5.95
20982,12 PENCILS TALL TUBE SKULLS,17,168,142.8,0.85
84356,POMPOM CURTAIN,1,24,142.8,5.95
35001W,HAND OPEN SHAPE DECO.WHITE,5,46,141.1,3.382
90085,CRYSTAL STILETTO PHONE CHARM,2,166,141.1,0.85
48129,DOOR MAT TOPIARY,9,22,140.5,6.6611111111111105
20712,JUMBO BAG WOODLAND ANIMALS,11,72,140.39999999999998,1.95
84327A,PINK JUMPER LARRY THE LAMB,8,76,139.92000000000002,2.04875
21737,SET 3 WICKER LOG BASKETS,6,7,139.64999999999998,19.95
37500,TEA TIME TEAPOT IN GIFT BOX,4,14,139.3,9.95
22065,CHRISTMAS PUDDING TRINKET POT,9,96,139.2,1.45
21017,RED BIRD HOUSE TREE DECORATION,2,193,139.09,0.785
22212,FOUR HOOK  WHITE LOVEBIRDS,11,66,138.6,2.1
21165,BEWARE OF THE CAT METAL SIGN,8,82,138.57999999999998,1.69
